"","trape","simpson"
"1",3.64062701092485,3.63341812808312
"2",3.07387771708378,3.06777962384754
"3",3.07387771708378,3.06777962384754
"4",3.64062701092485,3.63341812808312
"5",2.55695469609638,2.55186768840949
"6",2.87655753164114,2.87083468082273
"7",3.07387771708378,3.06777962384754
"8",3.07387771708378,3.06777962384754
"9",3.07387771708378,3.06777962384754
"10",2.55695469609638,2.55186768840949
"11",3.27898071816007,3.27247573260775
"12",4.78392708027627,4.77443651622134
"13",5.57004251114403,5.55901315170511
"14",2.55695469609638,2.55186768840949
"15",3.07387771708378,3.06777962384754
"16",3.07387771708378,3.06777962384754
"17",3.07387771708378,3.06777962384754
"18",4.03506036684075,4.02705594686218
"19",3.0698598805403,3.06377014568504
"20",3.64062701092485,3.63341812808312
"21",3.86061322699214,3.85293261802727
"22",2.55695469609638,2.55186768840949
"23",2.55695469609638,2.55186768840949
"24",3.07387771708378,3.06777962384754
"25",3.64062701092485,3.63341812808312
"26",2.55695469609638,2.55186768840949
"27",3.64062701092485,3.63341812808312
"28",3.20694617806806,3.20056602597383
"29",4.68063973713075,4.67137150300833
"30",3.07387771708378,3.06777962384754
"31",3.84967882281069,3.84204214745048
"32",3.07387771708378,3.06777962384754
"33",5.47516670984984,5.46432521599947
"34",3.64062701092485,3.63341812808312
"35",4.3378201790489,4.3292151691239
"36",3.64062701092485,3.63341812808312
"37",3.2525139060352,3.24604309790283
"38",3.58213486225601,3.57502846623601
"39",3.07387771708378,3.06777962384754
"40",3.65560948810567,3.64837093814275
"41",3.64062701092485,3.63341812808312
"42",4.06318842436387,4.05514281869559
"43",3.64062701092485,3.63341812808312
"44",3.76431325981057,3.75685946320127
"45",4.57950818399986,4.57044020261307
"46",3.07387771708378,3.06777962384754
"47",3.15802187200334,3.15175724866029
"48",3.07387771708378,3.06777962384754
"49",3.64062701092485,3.63341812808312
"50",3.86965590533272,3.86195730614908
"51",2.55695469609638,2.55186768840949
"52",3.75640926986951,3.7489359724896
"53",2.55695469609638,2.55186768840949
"54",2.55695469609638,2.55186768840949
"55",4.95821074151891,4.9483750519606
"56",2.55695469609638,2.55186768840949
"57",3.1483259200083,3.14206239168678
"58",2.55695469609638,2.55186768840949
"59",2.55695469609638,2.55186768840949
"60",4.00022920640835,3.99230826762428
"61",3.64062701092485,3.63341812808312
"62",2.55695469609638,2.55186768840949
"63",2.66848502209844,2.66317612716949
"64",3.07387771708378,3.06777962384754
"65",3.0698598805403,3.06377014568504
"66",4.28861024672185,4.28007814667163
"67",3.64062701092485,3.63341812808312
"68",3.64062701092485,3.63341812808312
"69",3.56879781942948,3.56169777109149
"70",3.6238029075203,3.61661384860719
"71",5.27684518366758,5.26639639048195
"72",3.07387771708378,3.06777962384754
"73",5.40868937744973,5.39797951677665
"74",3.64062701092485,3.63341812808312
"75",3.64062701092485,3.63341812808312
"76",3.0698598805403,3.06377014568504
"77",3.64062701092485,3.63341812808312
"78",2.55695469609638,2.55186768840949
"79",2.55695469609638,2.55186768840949
"80",2.96094533863009,2.95505460004128
"81",3.07387771708378,3.06777962384754
"82",3.41524425474171,3.4084693748493
"83",3.07387771708378,3.06777962384754
"84",3.64062701092485,3.63341812808312
"85",3.7133975358149,3.70604455851178
"86",3.0698598805403,3.06377014568504
"87",4.56303119517978,4.55397885405592
"88",4.41565620834423,4.40689679372365
"89",2.55695469609638,2.55186768840949
"90",2.55695469609638,2.55186768840949
"91",3.64062701092485,3.63341812808312
"92",3.07387771708378,3.06777962384754
"93",4.37946064010218,4.37077247428499
"94",3.0698598805403,3.06377014568504
"95",3.07387771708378,3.06777962384754
"96",3.15368995899413,3.14743392894275
"97",2.55695469609638,2.55186768840949
"98",5.16881850915806,5.1585650332795
"99",3.0698598805403,3.06377014568504
"100",3.25657585701459,3.25011573040391
